Age,Sex,Job,Credit amount,Duration,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk
4.219507705176107,0.6931471805599453,2,7.064759027791802,1.9459101490553132,0.0,0.6934,0.0,0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6934,0.0,0.0,1
3.1354942159291497,0.0,2,8.691482576512929,3.8918202981106265,0.0,0.6934,0.0,1,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0,0.0,0.0,0.0,0.6934,0.0,0.0,0
3.912023005428146,0.6931471805599453,1,7.64826303090192,2.5649493574615367,0.0,0.6934,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6934,0.0,0.0,0.0,0.0,1
3.828641396489095,0.6931471805599453,2,8.972463821059907,3.7612001156935624,0.6934,0.0,0.0,1,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0,0.0,0.0,0.6934,0.0,0.0,0.0,1
3.9889840465642745,0.6931471805599453,2,8.491054533806542,3.2188758248682006,0.6934,0.0,0.0,1,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
3.58351893845611,0.6931471805599453,1,9.111182800442965,3.6109179126442243,0.6934,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6934,0.0,0.0,0.0,0.0,1
3.9889840465642745,0.6931471805599453,2,7.950149887652018,3.2188758248682006,0.0,0.6934,0.0,0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6934,0.0,0.0,0.0,1
3.58351893845611,0.6931471805599453,3,8.846353043314327,3.6109179126442243,0.0,0.0,0.6934,1,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
4.127134385045092,0.6931471805599453,1,8.026170194946426,2.5649493574615367,0.0,0.6934,0.0,0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6934,0.0,0.0,1
3.367295829986474,0.6931471805599453,3,8.563122123304638,3.4339872044851463,0.0,0.6934,0.0,1,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
3.258096538021482,0.0,2,7.16703787691222,2.5649493574615367,0.0,0.0,0.6934,1,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
3.2188758248682006,0.0,2,8.368461137615839,3.8918202981106265,0.0,0.0,0.6934,1,0.0,0.0,0.0,0.6934,0.0,0.0,0.6934,0,0.0,0.0,0.0,0.0,0.0,0.0,0
