Age,Sex,Job,Credit amount,Duration,Risk,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Credit_amount/duration
4.219507705176107,1,2,7.064759027791802,1.9459101490553132,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.6305679536239386
3.1354942159291497,0,2,8.691482576512929,3.8918202981106265,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.233269244402782
3.912023005428146,1,1,7.64826303090192,2.5649493574615367,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.981837831867061
3.828641396489095,1,2,8.972463821059907,3.7612001156935624,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.3855321559792606
3.9889840465642745,1,2,8.491054533806542,3.2188758248682006,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.6378944065523915
3.58351893845611,1,1,9.111182800442965,3.6109179126442243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5232317712176884
3.9889840465642745,1,2,7.950149887652018,3.2188758248682006,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.4698529300916863
3.58351893845611,1,3,8.846353043314327,3.6109179126442243,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.449890376166504
4.127134385045092,1,1,8.026170194946426,2.5649493574615367,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.129172968502472
3.367295829986474,1,3,8.563122123304638,3.4339872044851463,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.493638331593171
3.258096538021482,0,2,7.16703787691222,2.5649493574615367,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.7942219818348577
3.2188758248682006,0,2,8.368461137615839,3.8918202981106265,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.150269153403229
3.1354942159291497,0,2,7.357556200910353,2.5649493574615367,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.868499598055197
4.110873864173311,1,1,7.090076835776092,3.2188758248682006,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.202656213389779
3.367295829986474,0,2,7.247080584585756,2.772588722239781,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.61383180507614
3.4965075614664802,0,1,7.1569563646156364,3.2188758248682006,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2.223433507227227
3.9889840465642745,1,2,7.793586803371584,3.2188758248682006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4212138732287687
3.258096538021482,1,2,8.996280439395015,3.4339872044851463,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.619776925098886
3.8066624897703196,0,3,9.439863530254431,3.2188758248682006,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.932658494411152
3.4657359027997265,1,2,8.14060704285845,3.2188758248682006,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5290217721249855
3.8918202981106265,1,2,7.666221925662725,2.302585092994046,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3293978793610424
3.8066624897703196,1,2,7.881559917056899,1.9459101490553132,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.0503205766634105
3.8918202981106265,1,1,7.715123603632105,2.3978952727983707,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.217456446556346
3.8066624897703196,1,2,7.498315870766981,2.5649493574615367,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.9233777458233594
3.295836866004329,1,2,7.635303886259415,2.3978952727983707,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1841690389376054
3.6109179126442243,1,1,7.226209010100671,1.9459101490553132,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.713536831908092
3.6888794541139363,1,1,6.056784013228625,1.9459101490553132,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1125712644897967
3.7612001156935624,0,2,6.016157159698354,2.5649493574615367,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.3455266834790014
3.5553480614894135,1,2,7.789868559054706,2.0794415416798357,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.74613491310836
4.1588830833596715,1,2,8.830104317913793,4.110873864173311,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.1479871700440776
3.6109179126442243,1,2,7.5569505720129,2.9444389791664403,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2.566516278816634
3.332204510175204,1,2,8.299285906897275,3.2188758248682006,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.5783181329267637
3.4339872044851463,1,2,8.67709870892586,2.9444389791664403,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.9469446540822233
4.060443010546419,1,1,7.142827401161621,2.5649493574615367,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.784783013505846
3.5263605246161616,0,3,7.29641326877392,2.5649493574615367,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.844661726964851
3.258096538021482,1,1,8.465268118551318,3.828641396489095,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.211037086501248
3.4657359027997265,1,2,8.717845704894916,3.8918202981106265,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.240043228390374
3.6375861597263857,1,2,7.650168700845001,2.9444389791664403,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.5981753247305317
3.6375861597263857,1,2,7.111512116496157,2.3978952727983707,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.9657309045848956
3.2188758248682006,1,2,6.129050210060545,2.302585092994046,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.661812685537261
3.4339872044851463,1,3,7.755338812846501,3.4339872044851463,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.258406438648699
3.295836866004329,1,2,7.055312843339752,2.5649493574615367,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.7506636038702186
3.8066624897703196,1,1,8.733110697638708,2.9444389791664403,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.9659676289542327
3.2188758248682006,1,2,8.730367211692958,3.4339872044851463,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.5423412178968476
4.07753744390572,0,1,8.723231274827508,3.8918202981106265,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.241427046120912
3.58351893845611,0,3,7.2399325913204695,2.4849066497880004,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.91356320847632
3.6888794541139363,1,2,7.7406644019172415,3.6109179126442243,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.1436832930518936
3.1780538303479458,0,0,7.210079628170788,1.9459101490553132,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3.7052479692708764
3.6888794541139363,1,1,8.885855993000296,2.4849066497880004,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.575931511857153
